Dataset Name,Archive Type,Proxy Type,Minimum Age,Maximum Age,Longitude,Latitude,Max Resolution,Min Resolution
394_Oppo_Makassar_Strait_MD982160__d18Ocalciteminus01,Foraminifera,Delta-oxygen-18,1004.36,1815.0,117.487,-5.2011,-6.669999999999845,20.710000000000036
396_Tierney_Makassar_Strait__BJ80331__leafwax_dD,Leaf material,Delta-deuterium,1718.0,1998.0,119.45,-3.8333,-9.0,14.0
397_Tierney_Makassar_Strait_BJ80334__Leafwax_dD,Leaf material,Delta-deuterium,-331.0,1619.0,119.45,-3.8333,-30.0,65.0
398_Kau_Bay__d15N,Sediment,Delta-nitrogen-15,-1382.0,1840.0,127.7167,0.5,134.0,36.0
399_Kau_Bay__CN,Sediment,Carbon-nitrogen ratio,-1382.0,1840.0,127.7167,0.5,956.0,415.0
3_DUN02A,Coral,Luminescence,1868.0,1987.0,146.17,-17.95,1.0,1.0
400_Kau_Bay__d13C_plant_wax,Leaf material,Delta-carbon-13,-1382.0,1840.0,127.7167,0.5,956.0,415.0
409_RECALIBRATED_Blue_Lake_lithostratigraphy__mgca_,Ostracod,Magnesium-calcium ratio,-3919.8,1999.8,140.0129,-37.0141,138.39999999999986,0.0
410_RECALIBRATED_Blue_Lake_lithostratigraphy__mgca_G_australica,Ostracod,Magnesium-calcium ratio,-3919.8,1999.8,140.0129,-37.0141,138.39999999999986,11.900000000000091
411_RECALIBRATED_Blue_Lake_lithostratigraphy__mgca_C_novaezelandiae,Ostracod,Magnesium-calcium ratio,-3919.8,1999.8,140.0129,-37.0141,2809.4,24.9
413_RECALIBRATED_Blue_Lake_lithostratigraphy__mgca_L_mowbrayensis,Ostracod,Magnesium-calcium ratio,-3919.8,1999.8,140.0129,-37.0141,3921.9999999999995,19.900000000000006
415_RECALIBRATED_Blue_Lake_lithostratigraphy__srca,Ostracod,Strontium-calcium ratio,-3919.8,1999.8,140.0129,-37.0141,138.39999999999986,0.0
416_RECALIBRATED_Blue_Lake_lithostratigraphy__srca_G_australica,Ostracod,Strontium-calcium ratio,-3919.8,1999.8,140.0129,-37.0141,138.39999999999986,11.900000000000091
417_RECALIBRATED_Blue_Lake_lithostratigraphy__srca_C_novaezelandiae,Ostracod,Strontium-calcium ratio,-3919.8,1999.8,140.0129,-37.0141,2809.4,24.9
419_RECALIBRATED_Blue_Lake_lithostratigraphy__srca_L_mowbrayensis,Ostracod,Strontium-calcium ratio,-3919.8,1999.8,140.0129,-37.0141,3921.9999999999995,19.900000000000006
421_RECALIBRATED_Blue_Lake_lithostratigraphy__naca,Ostracod,Sodium-calcium ratio,-3919.8,1999.8,140.0129,-37.0141,138.39999999999986,0.0
422_RECALIBRATED_Blue_Lake_lithostratigraphy__naca_G_australica,Ostracod,Sodium-calcium ratio,-3919.8,1999.8,140.0129,-37.0141,138.39999999999986,11.900000000000091
423_RECALIBRATED_Blue_Lake_lithostratigraphy__naca_C_novaezelandiae,Ostracod,Sodium-calcium ratio,-3919.8,1999.8,140.0129,-37.0141,2809.4,24.9
425_RECALIBRATED_Blue_Lake_lithostratigraphy__naca_L_mowbrayensis,Ostracod,Sodium-calcium ratio,-3919.8,1999.8,140.0129,-37.0141,3921.9999999999995,19.900000000000006
427_RECALIBRATED_Blue_Lake_lithostratigraphy__d18O,Ostracod,Delta-oxygen-18,-3919.8,1999.8,140.0129,-37.0141,199.69999999999982,0.0
428_RECALIBRATED_Blue_Lake_lithostratigraphy__d18O_G_australica,Ostracod,Delta-oxygen-18,-3919.8,1999.8,140.0129,-37.0141,199.69999999999982,11.900000000000091
429_RECALIBRATED_Blue_Lake_lithostratigraphy__d18O_C_novaezelandiae,Ostracod,Delta-oxygen-18,-3919.8,1999.8,140.0129,-37.0141,2087.8,51.89999999999998
431_RECALIBRATED_Blue_Lake_lithostratigraphy__d13C,Ostracod,Delta-carbon-13,-3919.8,1999.8,140.0129,-37.0141,199.69999999999982,0.0
432_RECALIBRATED_Blue_Lake_lithostratigraphy__d13C_G_australica,Ostracod,Delta-carbon-13,-3919.8,1999.8,140.0129,-37.0141,199.69999999999982,11.900000000000091
433_RECALIBRATED_Blue_Lake_lithostratigraphy__d13C_C_novaezelandiae,Ostracod,Delta-carbon-13,-3919.8,1999.8,140.0129,-37.0141,2087.8,51.89999999999998
437_RECALIBRATED_Duckhole_Lake__chlorophyll,Sediment,Reflectance,1144.0,2005.0,146.875,-43.365,3.0,0.0
439_South_Sunda_Islands_GeoB100657_mgca_P_obliqu,Foraminifera,Magnesium-calcium ratio,-95.1,1984.0,118.8935,-9.2236,36.5,0.0
441_South_Sunda_Islands_GeoB100657_G_bulloides_mgca,Foraminifera,Magnesium-calcium ratio,-95.1,1984.0,118.8935,-9.2236,27.80000000000001,3.0
447_RECALIBRATED_Jacka_Lake__quartz_sand,Sediment,Grain size,-4200.0,1980.0,141.8,-36.8,291.0,10.0
448_RECALIBRATED_Kau_Bay__d15N,Sediment,Delta-nitrogen-15,-1257.0,1768.0,127.5,1.0,126.0,38.0
449_RECALIBRATED_Kau_Bay__CN,Sediment,Carbon-nitrogen ratio,-1257.0,1768.0,127.5,1.0,1040.3,319.0
450_RECALIBRATED_Kau_Bay__d13C_plant_wax,Leaf material,Delta-carbon-13,-1257.0,1768.0,127.5,1.0,1040.3,319.0
453_RECALIBRATED_Lake_Lading__dDleafwax,Leaf material,Delta-deuterium,881.2,1999.1,138.312,-8.0088,87.69999999999993,2.8999999999999773
454_RECALIBRATED_Lake_Lading__dDleafwaxlowpass,Leaf material,Delta-deuterium,881.2,1999.1,138.312,-8.0088,87.69999999999993,2.8999999999999773
455_RECALIBRATED_Lake_Lamongan__geochem_drought_record,Sediment,Magnesium-carbonate,1445.5,1996.5,113.3833,-7.9833,67.69999999999999,0.0
456_RECALIBRATED_Lake_Logung__magnetic_susceptibility,Sediment,Magnetic susceptibility,719.1,2007.1,113.3074,-8.0421,4.599999999999909,0.0
457_RECALIBRATED_Lake_Logung__total_inorganic_carbon,Sediment,Total inorganic carbon,727.9,2007.1,113.3074,-8.0421,28.399999999999977,0.0
458_RECALIBRATED_Lake_Logung__total_organic_carbon,Sediment,Total organic carbon,727.9,2007.1,113.3074,-8.0421,28.399999999999977,0.0
459_RECALIBRATED_Lake_Logung__Nitrogen,Sediment,Nitrogen,727.9,2007.1,113.3074,-8.0421,28.399999999999977,0.0
460_RECALIBRATED_Lake_Logung__CN_ratio,Sediment,Organic carbon-nitrogen ratio,727.9,2007.1,113.3074,-8.0421,28.399999999999977,0.0
461_RECALIBRATED_Lake_Logung__d13C,Sediment,Delta-carbon-13,727.9,2007.1,113.3074,-8.0421,41.39999999999998,0.0
462_RECALIBRATED_Lake_Logung__d15N,Sediment,Delta-nitrogen-15,727.9,2007.1,113.3074,-8.0421,41.39999999999998,0.0
